고객코드,고객명,성별,나이,직업,주소,취미,핸드폰번호,학력,키,몸무게,주사용SNS,주사용채널,주사용OTT
99684,진민서,남성,19,네트워크시스템 개발자,대전광역시 중랑구 서초대가,여행,(010)86667693,석사,181.82,50.37,틱톡,YouTube,왓챠
10475,이은주,남성,31,안경사,전라북도 수원시 팔달구 잠실로 (정남곽리),등산,(010)66583298,석사,178.84,58.49,페이스북,YouTube,왓챠
84451,노민준,남성,45,판사 및 검사,대전광역시 양천구 서초중앙가 (현주윤황동),영화 감상,(010)02081859,석사,162.47,74.04,틱톡,YouTube,웨이브
46431,홍민재,여성,59,바닥재 시공원,광주광역시 성북구 봉은사거리,요리,(010)77942374,대졸,153.15,52.13,틱톡,포털,왓챠
97373,안은서,여성,28,기타 채굴 및 토목 관련 종사자,세종특별자치시 마포구 언주020가 (순옥김이면),여행,(010)55245020,대졸,167.72,57.45,인스타그램,포털,넷플릭스
2158,강춘자,여성,58,금속가공 기계조작원,부산광역시 북구 봉은사거리,요리,(010)25968492,박사,179.34,42.23,인스타그램,YouTube,티빙
32825,최미정,남성,34,가구조립원,경기도 동두천시 언주가 (은지최김마을),요리,(010)18176688,대졸,185.62,82.82,트위터,포털,왓챠
68519,박수민,여성,60,석유 및 천연가스제조 관련 제어장치 조작원,경기도 아산시 학동거리 (민지박읍),여행,(010)61317494,대졸,161.43,45.81,틱톡,YouTube,왓챠
35038,김지우,남성,41,전기공학 기술자 및 연구원,제주특별자치도 과천시 논현264가,여행,(010)40240827,박사,178.5,78.98,페이스북,YouTube,웨이브
72458,강성호,여성,43,환경공학 기술자 및 연구원,인천광역시 양천구 압구정길 (상훈김리),영화 감상,(010)02973575,박사,187.66,53.35,틱톡,블로그,넷플릭스
44529,김지우,남성,58,증권 및 외환 딜러,부산광역시 동작구 언주704로 (정식홍면),독서,(010)15320651,고졸,151.21,92.33,페이스북,포털,넷플릭스
29418,김지민,남성,46,기타 운송장비 정비원,강원도 청양군 서초중앙781로,요리,(010)69795812,박사,181.77,53.0,인스타그램,블로그,넷플릭스
77956,이옥순,남성,42,냉/난방 관련 설비 조작원,전라남도 정선군 강남대7가 (정훈김오면),등산,(010)33281015,대졸,165.58,93.46,틱톡,포털,티빙
76752,양지혜,여성,39,의지보조기기사,충청남도 철원군 학동6거리 (상현이읍),독서,(010)23388610,고졸,160.4,49.89,틱톡,포털,넷플릭스
82914,하수빈,여성,63,환경공학 시험원,전라남도 성남시 중원구 백제고분가 (영순성김마을),영화 감상,(010)37019713,고졸,177.57,93.93,인스타그램,포털,웨이브
25425,김미경,여성,32,간호사,전라북도 이천시 역삼로,영화 감상,(010)74696865,석사,174.54,72.66,틱톡,포털,웨이브
81619,강주원,남성,31,관세행정 사무원,경기도 음성군 논현983로,영화 감상,(010)87499331,박사,176.01,86.69,트위터,YouTube,왓챠
74184,류영자,여성,30,법률관련 사무원,충청남도 원주시 강남대길,독서,(010)23130633,석사,152.99,48.98,페이스북,YouTube,웨이브
71688,이미정,남성,33,자동차 부분품 조립원,경기도 삼척시 역삼거리 (지현박마을),영화 감상,(010)86212262,대졸,189.88,47.64,페이스북,포털,티빙
22219,안서윤,여성,65,연구 관리자,전라남도 고양시 일산동구 삼성거리,여행,(010)63696005,석사,187.32,63.08,페이스북,블로그,넷플릭스
20780,강영자,남성,37,가스/에너지 기술자 및 연구원,울산광역시 도봉구 잠실가,영화 감상,(010)28468596,대졸,150.54,93.04,트위터,포털,왓챠
11065,이영철,남성,23,기타 주방장 및 조리사,부산광역시 강서구 선릉875가 (동현서마을),여행,(010)91538179,석사,158.4,41.64,인스타그램,포털,넷플릭스
49121,최미경,여성,54,철도 및 전동차 기관사,대구광역시 강서구 학동103거리,여행,(010)53082085,박사,158.18,72.59,틱톡,블로그,왓챠
38442,김준혁,여성,26,기타 연극/영화 및 영상 관련 종사자,제주특별자치도 부천시 가락거리 (지영안동),영화 감상,(010)23796357,박사,173.68,45.99,인스타그램,포털,왓챠
39887,김성민,남성,35,소년보호관 및 교도관,전라남도 논산시 석촌호수619거리 (숙자고면),독서,(010)09892364,고졸,166.6,65.37,인스타그램,블로그,티빙
38355,안정수,여성,61,타이어 및 고무제품 생산기 조작원,전라북도 천안시 동남구 양재천길 (은영이마을),요리,(010)99465774,석사,154.34,62.84,페이스북,포털,티빙
44737,박정순,여성,48,제관원,제주특별자치도 포천시 석촌호수9로 (영식황한리),요리,(010)45540799,대졸,178.57,85.38,트위터,YouTube,넷플릭스
17767,김정숙,여성,62,건설 및 광업 단순 종사원,경상남도 횡성군 강남대가,독서,(010)42531459,대졸,150.92,74.64,인스타그램,포털,티빙
45500,양병철,여성,33,웹 및 멀티미디어 기획자,대전광역시 동대문구 논현40가 (서윤민면),등산,(010)56562712,박사,188.6,88.34,틱톡,블로그,티빙
61421,김성호,여성,35,촬영기사,강원도 태백시 압구정가 (현지김김마을),요리,(010)04339137,박사,184.65,62.2,트위터,포털,티빙
63121,이영숙,남성,60,전기공학 기술자 및 연구원,대전광역시 동대문구 언주5거리 (예지지박마을),등산,(010)90228987,고졸,154.19,57.17,인스타그램,포털,티빙
82146,김춘자,남성,49,웨이터,서울특별시 강서구 양재천길 (현주이강읍),등산,(010)32577390,고졸,150.17,88.0,페이스북,블로그,왓챠
30530,우영순,여성,41,환경공학 시험원,제주특별자치도 안양시 양재천0거리 (서준김박읍),독서,(010)71547608,고졸,183.88,93.45,틱톡,YouTube,웨이브
2115,최채원,여성,49,농림어업관련 단순 종사원,제주특별자치도 음성군 봉은사거리 (수빈최김마을),여행,(010)09767719,석사,161.49,72.83,틱톡,포털,웨이브
25902,강선영,남성,39,시각 디자이너,전라남도 속초시 영동대거리 (경숙김김읍),영화 감상,(010)45260527,박사,175.47,88.86,틱톡,블로그,웨이브
26966,이성진,여성,56,자동차 정비원,전라남도 서천군 논현가,영화 감상,(010)08249783,대졸,175.12,41.4,트위터,포털,티빙
13303,김옥순,여성,42,기타 경호 및 보안 관련 종사원,대구광역시 관악구 개포8로,요리,(010)04887776,석사,152.64,81.33,페이스북,YouTube,왓챠
43516,김중수,여성,21,기타 직물 및 신발 관련 기계조작원 및 조립원,강원도 부여군 백제고분60가 (영진권마을),요리,(010)55122264,대졸,189.15,60.46,트위터,블로그,넷플릭스
36704,김영희,여성,33,사회과학 연구원,전라남도 포천시 가락로,여행,(010)52798073,박사,185.42,58.29,페이스북,포털,왓챠
53743,최선영,여성,18,경기감독 및 코치,세종특별자치시 중랑구 영동대가 (민재이이동),등산,(010)93279965,석사,171.47,46.01,인스타그램,블로그,웨이브
35547,김숙자,남성,58,특수교육 교사,서울특별시 강북구 백제고분거리 (경자김이마을),독서,(010)27872450,박사,187.37,65.64,트위터,블로그,왓챠
30423,이종수,여성,40,기타 건축마감관련 기능 종사원,경기도 성남시 봉은사9거리 (서현구읍),여행,(010)08337675,고졸,153.45,92.18,트위터,포털,웨이브
60763,이현주,남성,19,경호원,충청북도 부천시 오정구 선릉거리 (영진이면),여행,(010)27409790,석사,168.17,58.16,인스타그램,포털,웨이브
78161,송영길,여성,19,단열공,전라남도 원주시 언주거리 (우진장마을),등산,(010)15740028,박사,169.31,75.87,틱톡,포털,웨이브
9331,손정훈,남성,20,인사 및 노사 관련 전문가,충청북도 부천시 강남대길 (현지이면),영화 감상,(010)45316367,박사,185.96,44.59,트위터,YouTube,티빙
76302,김재호,남성,47,양식원,인천광역시 관악구 역삼길,등산,(010)86030866,대졸,160.46,87.16,틱톡,YouTube,티빙
70698,송민준,여성,24,제화원,인천광역시 도봉구 도산대거리,여행,(010)26928132,고졸,157.16,51.3,인스타그램,블로그,웨이브
90428,최영철,여성,50,인사 및 노사 관련 전문가,충청남도 예산군 봉은사479거리 (경자윤리),등산,(010)30489589,고졸,187.32,83.88,페이스북,블로그,왓챠
36880,문숙자,남성,46,귀금속 및 보석 세공원,대전광역시 동구 백제고분936거리 (경숙진강마을),요리,(010)83051248,석사,180.13,42.17,인스타그램,YouTube,넷플릭스
79615,류지민,여성,44,운송 사무원,세종특별자치시 양천구 오금로 (성훈김동),등산,(010)56159836,대졸,185.2,64.25,틱톡,블로그,티빙
20326,유영순,여성,58,조경 기술자,서울특별시 금천구 도산대길 (예진배이읍),영화 감상,(010)77193901,대졸,157.45,68.8,트위터,YouTube,티빙
79116,이수진,여성,36,기타 이미용/예식 및 의료보조 서비스 종사원,충청북도 인제군 논현거리,여행,(010)05631160,석사,186.07,60.52,트위터,YouTube,왓챠
59498,장영미,여성,35,영상/녹화 및 편집 기사,충청북도 연천군 백제고분거리 (경희김면),영화 감상,(010)09161125,석사,160.23,74.98,페이스북,블로그,넷플릭스
71109,박미영,남성,48,자산 운용가,인천광역시 강북구 테헤란36로 (수민김마을),독서,(010)75652906,석사,169.05,96.74,트위터,YouTube,웨이브
72469,양현숙,남성,19,과수작물 재배원,대전광역시 북구 오금가 (옥자이이동),영화 감상,(010)47230739,고졸,170.87,54.29,인스타그램,YouTube,티빙
81516,김진호,여성,55,문화/예술/디자인 및 영상관련 관리자,광주광역시 강남구 가락로,독서,(010)71929908,박사,185.6,42.37,트위터,블로그,넷플릭스
52130,김우진,여성,26,기술 영업원,대구광역시 강남구 학동615거리,요리,(010)09100283,대졸,159.96,46.3,인스타그램,포털,웨이브
84690,오영숙,남성,56,큐레이터 및 문화재 보존원,전라남도 부천시 역삼159로 (정훈이박읍),영화 감상,(010)41905883,박사,167.3,91.66,트위터,포털,넷플릭스
69720,김정희,여성,61,화학제품 생산기 조작원,충청북도 수원시 영통구 백제고분가,독서,(010)26631160,대졸,180.96,73.06,페이스북,블로그,왓챠
82955,강주원,남성,60,영상 및 관련 장비 설치 및 수리원,전라북도 안양시 가락거리 (준혁오마을),요리,(010)34755172,대졸,155.15,65.32,인스타그램,YouTube,티빙
57894,류정수,여성,18,제조관련 단순 종사원,경기도 증평군 삼성3길,등산,(010)70164387,박사,170.78,42.65,트위터,포털,왓챠
87562,하미정,남성,28,선박 및 열차 객실승무원,서울특별시 마포구 반포대592로 (서연김읍),영화 감상,(010)81676971,고졸,151.72,47.32,틱톡,포털,넷플릭스
99805,전영희,남성,23,기타 자동차 운전원,충청북도 수원시 장안구 역삼9로,요리,(010)91800220,고졸,161.95,91.66,인스타그램,YouTube,웨이브
2338,이종수,남성,29,기타 목재 및 종이 관련 기계조작원,광주광역시 은평구 테헤란가 (지우장리),여행,(010)25480313,석사,158.22,85.98,트위터,블로그,웨이브
27932,김하은,남성,46,우편물 집배원,경상북도 안양시 동안구 논현거리 (민수노박마을),영화 감상,(010)00976689,박사,179.74,83.94,인스타그램,블로그,웨이브
12000,이정자,남성,41,번역가,광주광역시 성동구 반포대길,등산,(010)71945230,석사,177.36,64.32,인스타그램,블로그,티빙
56735,김영일,여성,32,식품/섬유 공학 및 에너지 시험원,인천광역시 광진구 테헤란거리,여행,(010)78792976,석사,159.8,94.38,틱톡,블로그,왓챠
16949,이윤서,여성,48,제관원,충청남도 서천군 강남대길,독서,(010)70969540,박사,163.85,45.32,틱톡,포털,왓챠
62759,김준영,남성,22,기타 연극/영화 및 영상 관련 종사자,부산광역시 종로구 삼성길,여행,(010)26147036,대졸,184.38,47.19,페이스북,블로그,넷플릭스
23155,김영자,여성,33,기술 및 기능계 강사,전라남도 시흥시 테헤란길 (우진김김읍),등산,(010)88522219,대졸,174.1,98.6,트위터,포털,왓챠
60043,김은주,여성,49,임상병리사,충청남도 포천시 삼성505로,요리,(010)50222591,석사,167.8,46.4,인스타그램,YouTube,왓챠
78470,류시우,여성,51,번역가,대전광역시 강동구 석촌호수7길 (윤서이동),요리,(010)15491485,대졸,188.12,42.57,인스타그램,포털,티빙
97457,허영환,여성,53,기타 건설/전기 및 생산 관련 관리자,광주광역시 강북구 개포길 (은주김마을),영화 감상,(010)62732723,대졸,184.57,44.26,페이스북,블로그,웨이브
55413,이재현,여성,18,안내 / 접수 사무원 및 전화교환원,제주특별자치도 고양시 반포대1길 (도윤이윤리),여행,(010)68643945,대졸,162.76,63.65,인스타그램,포털,넷플릭스
50977,장영길,여성,35,기자 및 논설위원,울산광역시 도봉구 학동길 (정호류장마을),여행,(010)84778324,석사,157.18,81.59,페이스북,포털,왓챠
875,이서영,남성,58,소방공학 기술자 및 연구원,경상북도 파주시 백제고분021가 (민지박김마을),요리,(010)18471279,석사,187.97,90.39,인스타그램,YouTube,넷플릭스
3373,김하은,남성,19,타이어 및 고무제품 생산기 조작원,경기도 화성시 도산대가,독서,(010)94347333,석사,165.97,51.43,페이스북,YouTube,웨이브
80918,최우진,여성,50,기업고위임원,서울특별시 금천구 역삼9거리,요리,(010)62657307,고졸,169.29,51.2,트위터,블로그,넷플릭스
12746,이도윤,여성,23,한의사,경기도 화성시 언주길,등산,(010)55087930,석사,162.48,94.22,인스타그램,블로그,웨이브
4736,오미경,여성,51,실내장식 디자이너,대전광역시 성북구 잠실길 (지원송리),여행,(010)39028230,석사,165.34,79.97,인스타그램,포털,왓챠
22848,이성호,여성,29,유치원 교사,충청북도 충주시 서초중앙로,요리,(010)64020344,고졸,154.39,40.17,틱톡,블로그,왓챠
58656,이현주,여성,35,종이제품 생산기 조작원,전라남도 시흥시 개포로,등산,(010)43934749,고졸,164.6,84.99,틱톡,블로그,웨이브
73960,김서연,남성,25,항공기 정비원,제주특별자치도 파주시 압구정로,여행,(010)12985965,대졸,185.46,63.04,인스타그램,블로그,왓챠
49402,박도윤,여성,48,통계관련 사무원,경상남도 횡성군 압구정길,요리,(010)36340701,고졸,150.08,75.03,트위터,포털,티빙
80454,양영환,여성,18,화가 및 조각가,경상북도 아산시 테헤란로 (상현우남면),독서,(010)92713184,고졸,164.82,89.59,틱톡,YouTube,왓챠
48709,이서윤,남성,25,가전제품 설치 및 수리원,충청북도 홍성군 잠실로,여행,(010)02799347,고졸,186.03,42.53,트위터,YouTube,웨이브
35447,김현우,남성,29,자산 운용가,제주특별자치도 양양군 양재천로 (민준김면),독서,(010)68106320,석사,157.28,89.47,인스타그램,포털,티빙
72856,김현지,여성,26,전산 자료 입력원 및 사무 보조원,울산광역시 양천구 강남대849거리,영화 감상,(010)82480484,박사,187.56,78.51,인스타그램,YouTube,넷플릭스
82019,장지후,남성,26,보일러 설치 및 정비원,세종특별자치시 강남구 반포대거리,요리,(010)97426888,고졸,156.77,91.08,트위터,포털,왓챠
99439,이경희,남성,30,측량 및 지리정보 전문가,강원도 의왕시 도산대로 (민지최읍),요리,(010)09120074,고졸,188.03,50.38,페이스북,YouTube,웨이브
17784,허예은,여성,26,소방공학 기술자 및 연구원,경상남도 청주시 청원구 테헤란길 (하윤김면),여행,(010)90774355,석사,161.33,92.17,트위터,포털,왓챠
51692,이성호,남성,33,패션 디자이너,인천광역시 종로구 선릉길 (수민이이마을),요리,(010)59846486,대졸,183.68,99.48,틱톡,포털,티빙
9313,최민서,남성,47,보험 및 금융 상품 개발자,대전광역시 중구 학동길,등산,(010)11705264,박사,175.68,75.88,인스타그램,YouTube,티빙
74429,문지원,여성,64,의회의원/고위공무원 및 공공단체임원,제주특별자치도 하남시 석촌호수가 (정희김박읍),여행,(010)99711788,대졸,159.88,43.21,인스타그램,블로그,티빙
57582,이지우,여성,37,보건의료관련 관리자,경상남도 태백시 잠실거리,요리,(010)60006629,박사,162.24,70.79,페이스북,YouTube,왓챠
98448,권승민,여성,40,고무 및 플라스틱 제품 조립원,충청북도 안양시 만안구 역삼32가,독서,(010)67186246,대졸,155.17,51.74,틱톡,블로그,티빙
46255,윤은경,여성,62,펄프 및 종이 제조장치 조작원,전라북도 수원시 영통구 서초중앙가 (지원김김마을),요리,(010)66765298,대졸,186.94,81.1,트위터,YouTube,넷플릭스
1624,이은서,남성,32,텔레마케터,경상북도 인제군 잠실거리,요리,(010)36260578,고졸,159.93,53.99,인스타그램,포털,티빙
9517,황수빈,남성,29,기타 직물 및 신발 관련 기계조작원 및 조립원,충청남도 시흥시 반포대길 (광수엄동),독서,(010)44607633,대졸,152.87,81.23,페이스북,포털,왓챠
23112,박현정,남성,31,유리제조 및 가공기 조작원,전라남도 안양시 동안구 삼성거리,등산,(010)88004762,박사,156.12,84.75,트위터,YouTube,웨이브
35968,강진호,여성,39,전기/가스 및 수도 관련 관리자,세종특별자치시 강남구 테헤란7로 (은정박읍),독서,(010)32326116,석사,171.59,58.93,인스타그램,블로그,티빙
2669,이수진,남성,20,기타 경호 및 보안 관련 종사원,광주광역시 강북구 언주길 (하은오읍),등산,(010)34162324,박사,160.8,50.49,틱톡,YouTube,티빙
3260,김지연,남성,23,기타 식품가공관련 기계조작원,인천광역시 동작구 잠실730로,영화 감상,(010)79611309,박사,173.29,65.98,인스타그램,YouTube,넷플릭스
35472,박옥자,남성,20,점토제품 생산기 조작원,강원도 서산시 역삼7로 (시우김이리),여행,(010)49495836,대졸,167.47,86.11,틱톡,블로그,웨이브
48922,김도현,남성,48,판금원,경기도 강릉시 석촌호수로 (채원배황마을),요리,(010)93845964,대졸,160.47,74.92,페이스북,포털,티빙
25684,김지아,여성,39,상품중개인 및 경매사,제주특별자치도 이천시 압구정4거리 (영미이리),독서,(010)29183779,고졸,176.94,78.25,인스타그램,블로그,티빙
58417,박하은,여성,35,기타 식품가공관련 기계조작원,전라북도 정선군 언주로 (성민김리),독서,(010)02867366,대졸,175.26,45.52,페이스북,YouTube,티빙
78095,안보람,남성,64,석유 및 천연가스제조 관련 제어장치 조작원,대전광역시 동대문구 도산대가 (준영이면),요리,(010)48740415,고졸,165.53,60.89,틱톡,YouTube,티빙
49796,문광수,남성,48,바닥재 시공원,서울특별시 관악구 논현길,여행,(010)93197157,박사,187.19,43.36,페이스북,YouTube,넷플릭스
79220,송영환,여성,61,연예인 및 스포츠 매니저,전라북도 구리시 봉은사거리 (지은권서마을),등산,(010)73387831,석사,154.79,40.34,페이스북,YouTube,왓챠
18989,김은서,남성,36,관세행정 사무원,울산광역시 서대문구 도산대거리 (민재김리),여행,(010)35855628,석사,164.08,64.73,트위터,블로그,왓챠
